G01 P in MW,G02 P in MW,G03 P in MW,G04 P in MW,G05 P in MW,G06 P in MW,G07 P in MW,G08 P in MW,G09 P in MW,G10 P in MW,G01 ut in p.u.,G02 ut in p.u.,G03 ut in p.u.,G04 ut in p.u.,G05 ut in p.u.,G06 ut in p.u.,G07 ut in p.u.,G08 ut in p.u.,G09 ut in p.u.,G10 ut in p.u.,G01 ie in p.u.,G02 ie in p.u.,G03 ie in p.u.,G04 ie in p.u.,G05 ie in p.u.,G06 ie in p.u.,G07 ie in p.u.,G08 ie in p.u.,G09 ie in p.u.,G10 ie in p.u.,G01 xspeed in p.u.,G02 xspeed in p.u.,G03 xspeed in p.u.,G04 xspeed in p.u.,G05 xspeed in p.u.,G06 xspeed in p.u.,G07 xspeed in p.u.,G08 xspeed in p.u.,G09 xspeed in p.u.,G10 xspeed in p.u.,G01 firel in deg,G02 firel in deg,G03 firel in deg,G04 firel in deg,G05 firel in deg,G06 firel in deg,G07 firel in deg,G08 firel in deg,G09 firel in deg,G10 firel in deg,sample_id,timestep,target,target_name,P_G01_G10_sum,P_remaining_sum,P_difference,P_diff_target0_est,P_diff_target0_est_pred
724.866,370.973,479.109,448.229,361.855,473.094,409.874,407.787,595.27,112.523,0.976,0.949,0.955,0.965,0.982,1.02,1.033,0.971,1.002,1.011,1.252,1.891,1.868,1.791,2.004,1.873,1.724,1.582,1.671,1.258,1.0,1.0,1.001,1.0,1.0,1.0,1.0,1.001,1.001,1.001,-41.638,0.0,5.642,10.778,3.1,4.578,10.867,13.425,20.543,-37.06,0,0,1,unstable,837.389,3546.191,2708.8019999999997,,3161.962897500005
729.956,370.202,483.62,444.107,369.499,479.735,407.826,408.049,606.085,120.353,0.985,0.959,0.962,0.973,0.989,1.027,1.041,0.982,1.008,1.018,1.211,1.863,1.851,1.759,1.981,1.855,1.711,1.554,1.659,1.235,1.0,1.0,1.001,1.0,1.0,1.001,1.0,1.001,1.001,1.001,-41.752,0.0,5.708,10.737,3.117,4.61,10.854,13.565,20.711,-37.017,0,1,1,unstable,850.309,3569.123,2718.8140000000003,,3161.962897500005
734.748,371.432,487.478,443.411,374.961,484.338,407.709,409.806,615.45,125.919,0.992,0.965,0.968,0.979,0.994,1.032,1.047,0.99,1.013,1.024,1.178,1.841,1.839,1.734,1.965,1.842,1.702,1.533,1.651,1.217,1.0,1.0,1.001,1.0,1.001,1.001,1.0,1.001,1.001,1.001,-41.879,0.0,5.772,10.705,3.135,4.641,10.843,13.702,20.883,-36.966,0,2,1,unstable,860.667,3594.585,2733.918,,3161.962897500005
739.198,373.608,490.988,444.456,379.111,487.778,408.661,412.375,623.708,130.224,0.998,0.97,0.972,0.983,0.998,1.035,1.052,0.996,1.016,1.028,1.151,1.824,1.83,1.715,1.953,1.832,1.696,1.519,1.647,1.204,1.0,1.001,1.001,1.0,1.001,1.001,1.0,1.001,1.001,1.001,-42.018,0.0,5.832,10.683,3.153,4.669,10.835,13.835,21.057,-36.91,0,3,1,unstable,869.422,3620.685,2751.263,,3161.962897500005
743.253,376.114,494.31,446.193,382.502,490.584,410.147,415.313,631.097,133.882,1.002,0.973,0.974,0.986,1.001,1.038,1.055,1.001,1.018,1.031,1.129,1.812,1.824,1.699,1.944,1.825,1.692,1.509,1.645,1.193,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,-42.168,0.0,5.889,10.672,3.17,4.695,10.83,13.964,21.232,-36.848,0,4,1,unstable,877.135,3646.26,2769.125,,3161.962897500005
746.868,378.665,497.469,448.292,385.341,492.955,411.904,418.337,637.764,137.198,1.006,0.975,0.976,0.988,1.003,1.04,1.057,1.004,1.02,1.034,1.111,1.803,1.821,1.688,1.939,1.82,1.69,1.502,1.644,1.185,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,-42.328,0.0,5.941,10.671,3.186,4.719,10.829,14.089,21.404,-36.781,0,5,1,unstable,884.066,3670.727,2786.661,,3161.962897500005
749.997,381.129,500.463,450.596,387.744,494.992,413.789,421.278,643.815,140.341,1.009,0.977,0.977,0.99,1.005,1.042,1.058,1.007,1.021,1.036,1.097,1.797,1.819,1.68,1.935,1.817,1.689,1.498,1.646,1.179,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,-42.498,0.0,5.989,10.68,3.199,4.74,10.832,14.209,21.574,-36.708,0,6,1,unstable,890.338,3693.806000000001,2803.4680000000008,,3161.962897500005
752.61,383.448,503.282,453.028,389.78,496.747,415.724,424.039,649.326,143.398,1.011,0.978,0.978,0.991,1.006,1.043,1.06,1.009,1.022,1.038,1.085,1.793,1.818,1.674,1.933,1.815,1.69,1.497,1.648,1.175,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,-42.677,0.0,6.033,10.701,3.21,4.759,10.839,14.324,21.741,-36.63,0,7,1,unstable,896.008,3715.374,2819.366,,3161.962897500005
754.799,385.587,505.892,455.558,391.487,498.24,417.672,426.561,654.351,146.409,1.013,0.978,0.979,0.992,1.007,1.044,1.061,1.011,1.022,1.039,1.075,1.791,1.819,1.67,1.933,1.814,1.691,1.497,1.652,1.171,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.001,-42.865,0.0,6.073,10.732,3.218,4.775,10.849,14.433,21.902,-36.546,0,8,1,unstable,901.208,3735.3480000000004,2834.1400000000003,,3161.962897500005
756.33,387.586,508.341,458.147,392.928,499.531,419.592,428.834,658.947,149.423,1.015,0.979,0.979,0.993,1.008,1.045,1.062,1.012,1.022,1.04,1.068,1.79,1.82,1.668,1.933,1.814,1.693,1.498,1.656,1.169,1.0,1.001,1.001,1.001,1.001,1.001,1.001,1.001,1.002,1.001,-43.06,0.0,6.109,10.773,3.225,4.79,10.864,14.536,22.059,-36.457,0,9,1,unstable,905.753,3753.906,2848.153,,3161.962897500005
